titulo,texto
Calendário JPB  - praça do Ernani Sátiro está abandonada-5670399.wav,quem volta calendário equip capit eu gent lado bairro meio algo que dia jeito que tudo mato lixo condiçõ nenhuma uso coisa que isso mai meno última vez alguém tipo conserto manutenção certeza isso eu eu eu ele você pessoa lhe gent gent lazer gent criança gent isso criança se criança germ cachorro ferro cavalo anim isso que condiçõ eu vou caminhada rua rodeio venho pronto eu pracinha pequeno gent número volta eu idosa que prefeitura ela crech frent criança eu se tudo tudo jeito jeito criança hora que gent pagamo pagamo direito cidadão local cheio mato buraco quadra quadra areia comunidad se criança bairro gent futebol gent vôlei isso comunidad isso important ele quadra quadra espaço que pessoal prática musculação isso nó precisamo gent que direito praça dona pessoa que pertinho que vontad caminhada né condiçõ buraco condiçõ
"Calendário JPB mostra construção de creche nos Bancários, em João Pessoa-5708324.wav",calendário gent feliz resolvido eu construção crech bairro capit inauguração 2014 conversa calendário segunda visita situação olha linda ele crech nada gent dia cara crech frent coisa eu mont criança casa que se cara crech gent ele eu gent rápido possível criança gent obra gent pensamento isso prefeitura eu contato município ele obra que ele acabamento instalaçõ hidráulica calçada mãe criança segurança previsão construtora obra fim mê pertinho gent que gent data calendário gent sonho sonho mim ela mãe que obra tempo exatament tempo gent feliz na primeira volta calendário gent carimbo andamento certo eu negócio carinho gostinho obra força total gent
Calendário JPB - ruas sem nome causam transtornos para moradores da Zona Oeste-5812812.wav,hora calendário correspondência polícia pizza tarefa fácei quem conjunto bairro rua nome grisi dia calendário gent chamado especi pessoal conjunto bairro gent rua única referência que gent quadra assistent motorista carro pouquinho você pessoal pessoal né pessoal gent gent direto quadra quem endereço difícil correspondência gent que gent conjunto nó nome rua nó transport urbano nó pracinha nó posto saúd situação precária você gent calendário princip dificuldad rua nome correspondência ponto referência difícil visita gent rua rua né rua rua quem rua você quem gent endereço gent quem minutinho você eu eu serra nada isso pino prefeitura eu prefeitura responsável dia isso o que ano ano isso eu você quem que você carteira gent gent essa gent correspondência gent água luz direito hora leitura hora leitura conta conta conta na casa nome rua correspondência
Calendário JPB volta ao Conjunto Esplanada-5058901.wav,calendário situação que prejuízo bolso risco vida morador gent buraco lado important bairro visita situação eu calendário imagen foto que pelo morador que pedido última reportagem secretaria infraestrutura operação tapa-buraco na extremidad ponta na ponta serviço calendário decisão comunidad eu gent calendário gent ela diferença grand gent ele facilidad que isso alívio coração você comunidad pouquinho vida quem gent buraco que serviço fiscalização ele recapeamento ele herói essa primeira capa nó seguida faixa part bom ess novo ela faixa pedestr presença rapaz ele faixa história que atenção autoridad isso você forma atendeu trecho operação tapa-buraco final se você essa decisão comunidad você conosco problema nova coisa pontuai gent atenção você que conosco você necessário
Calendário JPB volta a UBS de Oitizeiro e encontra gente trabalhando-7670080.wav,gent calendário área gent algun região unidad básica saúd obra povo equip calendário janeiro visita obra gent obra unidad básica saúd arma você placa tempo negócio gent trist choco comunidad coração alegria gent lugar negócio feijão eu feira pagamento calendário trabalho você semana hospit morador tudo ordem bola irmão bom serviço primeira divisão que que tudo obra você que brincadeira pessoal limpeza mato todinho bicho brincadeira cobra rato barata você imaginass corpo peão você essa que melhor meio caminho que frent gent esperança mai meno que eu eu frent pessoa firma pessoa ele ele mato tudo bonito ele mato rejunt ele ele tijolo responsável construtora gent ela que ela adiantamento serviço serviço que água ele ligação água obra ligação ele segmento coisa que que mato rejunt part interna aluno pessoal isso água vizinho que casinha caixinha relógio água ligação isso obra
Calendário JPB visita escola onde um muro pela metade está causando insegurança-5396280.wav,você simpl falta muro escola cobrança nova calendário gent distrito falta segurança insegurança medo medo joven situação séria dia calendário novo adoro rua gent escola estadu distrito problema professor gent estudant gent negócio segurança você momento construção gent que que seguint gent imensa né problema início gent que construção novo muro escola fato falta segurança que o que evident muro situação professor matemática que escola turno tard ele gent muro aquel gent muro minha favor gent metad isso segurança part princip quem portão porteiro presença pessoa caso assalto que quarta-feira noit salão aula moto final mê lugar você assalto arrastão pessoa escola colega que polici aula professor eu lembro história gent gent partir ponto aram pessoa escola hora seguint lado gent aluno professor pai aluno segurança gent escola inseguro
Moradores esperam por poda de árvores há 5 meses em João Pessoa-7737959.wav,casa rosemira contato poda árvore que fiação nada eu mai vez energisa força que no branquinha
Calendário JPB mostra melhorias em rua de Oitizeiro-5580726.wav,calendário aquel que gent tempinho preciso ano fevereiro falta estrutura rua gent coleção buraco causa chuva post casa risco situação feia eu que né jeito gent bora página calendário quem ano coisa nada situação exemplo gent cort verdad coração enorm cheio lixo post buraco conta isso gent lado rua gent tubulação gá conta buraco isso motivo preocupação ligação rua rua rua que tamanha buraqueira calendário ant rua mulher respeito você veículo problema ela enorm suja casa chuva que período festa que lama escorregadia acident você eu cratera secretaria infraestrutura município pedido que rua que se numa área risco obra drenagem rua espaço água escoar água rua como rua calçamento isso venda se rua caminho que água vitória você se isso gent solução definitiva problema calçamento pessoal que dua boca lobo resíduo água que
Calendário JPB resolvido-7617473.wav,calendário calendário dose dupla primeiro gent bairro relação mercado notícia ruim melhorada longo reportagem eu notícia janeiro ano gent infraestrutura verdadeiro cao coisa quarta visita carimbo mim gent gent trabalho que calendário mão serviço gent sala assistent social gent ventilador que tava sacola plástica gambiarra isso pintura jeito lâmpada nova ambient agradável pessoal pessoa que serviço sala outra administrativo que passadinha rápida gent converso pessoal lado sala psicóloga serviço important que horário almoço vergonha ele cuidado cheio cabo gent conselheiro que calendário que gent que sala ele que amigo diferent computador enfeit aí carn computador novo gent uso espaço dignidad isso gent sala tema infanti lado gent fiação coisa louco ess único ar-condicionado que ele carn gent passeada carrinho favor você você casa torção cardosinho nada garoto bom ré gent sala que computador enfeit relação você que situação gent computador sala atendimento sala administrativa previsão part serviço social quantidad ministrador gent você frent casa ele fácil né gent armário que pessoal mobília que sucata utensílio novo negócio que gent gent porta dia porta respeito vergonha verdad porta tipo
'Calendário JPB' volta a escola do Bairro dos Novais onde alunos querem quadra esportiva-6161122.wav,hora calendário gent feliz carinho eu nó caso bairro pai aluno reforma quadra esport governo estado grand reforma escola quadra novidad quadra tudo ginásio novinho impossível gent tudo gent gent cenário difícil local quadra que segurança comunidad que canteiro obra ginásio novinho tempo diretor opçõ estado problema part quadra calendário quadra problema telha que quadra ela direção rua risco acident grand filho que luta coisa boa escola escola chega gosto o que gent reforma quadra construção ginásio pouco grand da comunidad você que escola você transformação transformação escola ela escola comunidad eu teatro eu comemoração apresentaçõ culturai eu mont coisa coisa boa história demai carimbo andamento gostinho vitória ele certeza
